Station Name,Longitude,Latitude
04015ZUA,-0.8,10.78
04000BIN,-0.4833,10.7833
02012NAK,-1.467,10.8
04027BOL,-0.8667,10.8
01005SAM,-2.583,10.833
01004NAM,-2.75,10.85
04006TON,-1.167,10.85
04031GAR,-0.1833,10.85
04007GAR,-0.1667,10.85
02010TUM,-1.983,10.867
04026VEA,-0.85,10.87
05009NAN,-0.65,10.87
04003NAV,-1.083,10.878
04013DOB,-1.083,10.883
04016MIR,-0.9833,10.9
04004BON,-0.8,10.9
04024WUR,-0.0667,10.9
04030BIN,-0.3,10.95
04004PAG,-1.1,10.97
04002BIN,-0.3,10.97
04000KAY,-1.317,10.983
04001MAN,-0.2667,11.0167
04000BAW,-0.2333,11.05
04002PUS,-0.1167,11.0833
