X,Y,FID,City,County,Latitude,Location,Longitude,Market_Name,Open_Dates,Open_Hours,State,Weekday
-95.848953,41.261002,41,Council Bluffs,POTTAWATTAMIE,41.261002,714 South Main (The Center),-95.848953,Corydon Farmers Market-Thursday,05/05/2018 - 10/13/2018,08:00 AM - 01:00 PM,IA,Saturday
-92.64413,41.29504,42,Oskaloosa,MAHASKA,41.29504,"City Square, 106 S 1st St",-92.64413,Council Bluffs Farmers Market,05/19/2018 - 10/20/2018,08:00 AM - 11:00 AM,IA,Saturday
-92.64413,41.29504,43,Oskaloosa,MAHASKA,41.29504,"City Square, 106 S 1st St",-92.64413,CR Parks & Rec Noelridge Farmers Market - Fridays,05/15/2018 - 10/16/2018,04:00 PM - 06:00 PM,IA,Tuesday
-91.6917446,41.2983977,44,Washington,WASHINGTON,41.2983977,100 E Washington St,-91.6917446,CR Parks & Rec Noelridge Farmers Market - Mondays,05/17/2018 - 10/18/2018,05:00 PM - 07:30 PM,IA,Thursday
-93.0974369,41.3189055,45,Knoxville,MARION,41.3189055,809 W. Rock Island St,-93.0974369,CR Parks & Rec Noelridge Farmers Market - Wed.,05/12/2018 - 10/13/2018,08:00 AM - 12:00 PM,IA,Saturday
-93.097324,41.319591,46,Knoxville,MARION,41.319591,809 W. Rock Island St,-93.097324,Cresco Farmers Market - Fridays,05/15/2018 - 10/09/2018,03:00 PM - 05:30 PM,IA,Tuesday
-94.013359,41.334606,47,Winterset,MADISON,41.334606,Madison County Courthouse lawn,-94.013359,Cresco Farmers Market - Tuesdays,05/12/2018 - 10/06/2018,08:00 AM - 12:00 PM,IA,Saturday
-93.579361,41.356617,48,Indianola,WARREN,41.356617,Warren County Fairgrounds - Hwy 92,-93.579361,Creston Farmers Market,06/02/2018 - 10/27/2018,08:00 AM - 12:00 PM,IA,Saturday
-93.579361,41.356617,49,Indianola,WARREN,41.356617,Warren County Fairgrounds - Hwy 92,-93.579361,Dallas Center Farmers Market,07/11/2018 - 09/12/2018,02:00 PM - 06:00 PM,IA,Wednesday
-93.277519,41.392715,50,Pleasantville,MARION,41.392715,801 W Pleasant St,-93.277519,Davenport Farmers Market - Saturdays,07/11/2018 - 10/17/2018,03:30 PM - 06:00 PM,IA,Wednesday
